Date,Product,Min Price,Max Price,Avg Price
2024-10-16,Bette,26699,32969,29539
2024-10-16,Kole,12999,27499,23688
2024-10-16,Chali,32599,35599,34007
2024-10-16,Pepper,57089,61508,60184
2024-10-16,Chali,31169,34213,32423
2024-10-15,Bette,23069,34099,30230
2024-10-15,Kole,10000,27299,21119
2024-10-15,Pepper,60889,63129,62083
2024-10-15,Chali,29799,34599,33093
2024-10-15,Chali,30919,34312,32501
2024-10-14,Bette,24899,35609,28791
2024-10-14,Kole,12999,26909,22566
2024-10-14,Chali,32608,35368,34264
2024-10-14,Pepper,59999,64099,62034
2024-10-14,Chali,30120,34190,32616
2024-10-14,Chali,31099,34199,32901
2024-10-11,Bette,29408,38689,33219
2024-10-11,Kole,14999,25899,22819
2024-10-11,Pepper,60289,63699,61485
2024-10-10,Bette,22899,39699,33029
2024-10-10,Kole,13909,26299,20895
2024-10-10,Pepper,60599,64299,62588
2024-10-10,Chali,30120,34190,32616
2024-10-10,Chali,31009,34100,32538
2024-10-09,Bette,30018,34199,32775
2024-10-09,Kole,14099,26877,22017
2024-10-09,Old Ch,35699,35699,35699
2024-10-09,Pepper,57689,64099,61296
2024-10-09,Chali,30109,34099,32403
2024-10-08,Bette,26199,35609,31420
2024-10-08,Kole,13299,28899,21414
2024-10-08,Chali,32339,35018,33602
2024-10-08,Old Ch,36416,36416,36416
2024-10-08,Pepper,50319,65599,60696
2024-10-08,Chali,30300,34200,32096
2024-10-08,Chali,30806,34100,32625
2024-10-07,Bette,27921,37009,32108
2024-10-07,Kole,10000,26799,19914
2024-10-07,Chali,32315,36201,33661
2024-10-07,Old Ch,34516,34516,34516
2024-10-07,Pepper,57689,62899,61317
2024-10-07,Chali,30800,34600,32800
2024-10-07,Chali,31299,34109,32840
2024-10-05,Bette,27501,36292,31333
2024-10-05,Kole,13399,27500,24000
2024-10-05,Chali,32109,36068,33811
2024-10-05,Old Ch,34259,34506,34424
2024-10-05,Pepper,53589,63199,58571
2024-10-05,Chali,30409,33849,32308
2024-10-04,Bette,26119,37208,31452
2024-10-04,Kole,12799,26699,20876
2024-10-04,Chali,32109,35698,33774
2024-10-04,Old Ch,32309,35639,33974
2024-10-04,Pepper,58889,65199,62337
2024-10-04,Chali,27199,34670,32676
2024-10-04,Chali,30159,34099,32342
2024-10-03,Bette,31098,33018,31938
2024-10-03,Kole,12499,26899,22222
2024-10-03,Old Ch,31119,30018,32204
2024-10-03,Pepper,59699,60299,59999
2024-10-03,Chali,30769,34440,32934
2024-10-03,Chali,31009,34099,32151
2024-10-02,Bette,22799,35600,30124
2024-10-02,Kole,18399,26699,23113
2024-10-02,Chali,32208,35228,33283
2024-10-02,Old Ch,34239,36206,35223
2024-01-10,Bette,24019,39692,30311
2024-01-10,Kole,13299,28269,22632
2024-01-10,Old Ch,31786,37499,35445
2024-01-10,Pepper,59089,64899,61340
2024-01-10,Chali,30099,34099,32537
